ID,Government rank,Average Unrest,Average Autonomy,Estimated Monthly Income
	---,2,0.000,0.000,0.000
	REB,2,0.000,0.000,1.679
	PIR,2,0.000,0.000,4.158
	NAT,2,0.000,0.000,0.001
	SWE,2,-87.458,32.013,14.798
	DAN,2,-6.855,15.686,49.460
	FIN,1,0.000,0.000,0.001
	GOT,1,0.000,0.000,0.001
	NOR,2,0.000,0.000,0.001
	SHL,1,0.000,0.000,0.001
	SCA,2,0.000,0.000,0.001
	EST,1,0.000,0.000,0.001
	LVA,1,0.000,0.000,0.001
	LTG,1,0.000,0.000,0.001
	SMI,1,0.000,0.000,0.001
	KRL,1,0.000,0.000,0.001
	ICE,2,0.000,0.000,0.001
	ACH,1,0.000,0.000,0.001
	ALB,1,0.000,0.000,0.001
	ATH,1,0.000,0.000,0.001
	BOS,2,0.000,0.000,0.001
	BUL,3,0.000,0.000,0.001
	BYZ,3,0.000,0.000,0.001
	LAE,3,0.000,0.000,0.001
	CEP,1,0.000,0.000,0.001
	CRO,2,0.000,0.000,0.001
	CRT,1,0.000,0.000,0.001
	CYP,2,-7.777,0.000,5.188
	DAL,2,0.000,0.000,0.001
	EPI,1,0.000,0.000,0.001
	GRE,2,-18.930,0.000,2.523
	KNI,1,3.440,0.000,2.406
	MOE,1,0.000,0.000,0.001
	MOL,1,0.000,0.000,0.001
	MON,1,0.000,0.000,0.001
	NAX,1,0.000,0.000,0.001
	RAG,1,0.000,0.000,0.001
	RMN,2,0.000,0.000,0.001
	SER,3,0.000,0.000,0.001
	TRA,1,0.000,0.000,0.001
	WAL,1,0.000,0.000,0.001
	HUN,2,-3.250,0.466,6.360
	SLO,1,0.000,0.000,0.001
	TUR,3,0.000,0.000,0.001
	CNN,1,0.000,0.000,0.001
	CRN,1,0.000,0.000,0.001
	ENG,2,0.000,0.000,0.001
	LEI,1,0.000,0.000,0.001
	IRE,2,-15.423,20.134,83.379
	MNS,1,0.000,0.000,0.001
	SCO,1,-7.422,2.237,10.849
	TYR,1,0.000,0.000,0.001
	WLS,1,0.000,0.000,0.001
	NOL,2,0.000,0.000,0.001
	GBR,2,0.000,0.000,0.001
	AVE,2,0.000,0.000,0.001
	MTH,1,0.000,0.000,0.001
	ULS,1,0.000,0.000,0.001
	DMS,1,0.000,0.000,0.001
	SLN,1,0.000,0.000,0.001
	KID,1,0.000,0.000,0.001
	HSC,2,0.000,0.000,0.001
	ORD,1,0.000,0.000,0.001
	TRY,1,0.000,0.000,0.001
	FLY,1,0.000,0.000,0.001
	MCM,1,0.000,0.000,0.001
	KOI,2,0.000,0.000,0.001
	LOI,1,0.000,0.000,0.001
	EIC,2,0.000,0.000,0.001
	BRZ,2,0.000,0.000,0.001
	CAN,2,0.000,0.000,0.001
	CHL,3,0.000,0.000,0.001
	COL,2,0.000,0.000,0.001
	HAT,2,0.000,0.000,0.001
	LAP,2,0.000,0.000,0.001
	LOU,2,0.000,0.000,0.001
	MEX,2,0.000,0.000,0.001
	PEU,2,0.000,0.000,0.001
	PRG,2,0.000,0.000,0.001
	QUE,2,0.000,0.000,0.001
	CAM,2,0.000,0.000,0.001
	USA,2,0.000,0.000,0.001
	VNZ,2,0.000,0.000,0.001
	AUS,2,0.000,0.000,0.001
	CAL,2,0.000,0.000,0.001
	TEX,2,0.000,0.000,0.001
	CSC,2,0.000,0.000,0.001
	ALA,2,0.000,0.000,0.001
	NZL,2,0.000,0.000,0.001
	ILI,2,0.000,0.000,0.001
	FLO,2,0.000,0.000,0.001
	VRM,2,0.000,0.000,0.001
	SNA,2,0.000,0.000,0.001
	WSI,2,0.000,0.000,0.001
	CUB,2,0.000,0.000,0.001
	DNZ,1,0.000,0.000,0.001
	KRA,2,0.000,0.000,0.001
	LIT,1,-2.650,0.620,18.168
	LIV,1,0.000,0.000,0.001
	MAZ,1,0.000,0.000,0.001
	POL,2,0.000,0.000,0.001
	PRU,1,0.000,0.000,0.001
	KUR,1,0.000,0.000,0.001
	RIG,1,0.000,0.000,0.001
	TEU,2,-38.664,15.695,125.167
	PLC,2,0.000,0.000,0.001
	VOL,2,0.000,0.000,0.001
	KIE,1,0.000,0.000,0.001
	CHR,1,0.000,0.000,0.001
	OKA,1,0.000,0.000,0.001
	ALE,1,0.000,0.000,0.001
	ALS,1,0.000,0.000,0.001
	AMG,1,0.000,0.000,0.001
	AUV,1,0.000,0.000,0.001
	AVI,1,0.000,0.000,0.001
	BOU,1,0.000,0.000,0.001
	BRI,2,0.000,0.000,0.001
	BUR,1,-5.302,0.000,2.043
	CHP,1,0.000,0.000,0.001
	COR,1,0.000,0.000,0.001
	DAU,1,0.000,0.000,0.001
	FOI,1,0.000,0.000,0.001
	FRA,2,-3.688,0.545,1.099
	GUY,1,0.000,0.000,0.001
	NEV,1,0.000,0.000,0.001
	NRM,1,0.000,0.000,0.001
	ORL,1,0.000,0.000,0.001
	PIC,1,0.000,0.000,0.001
	PRO,2,-7.543,40.943,35.605
	SPI,1,0.000,0.000,0.001
	TOU,1,0.000,0.000,0.001
	BER,1,0.000,0.000,0.001
	AAC,1,-10.847,0.000,5.037
	ANH,1,0.000,0.000,0.001
	ANS,1,-10.160,6.375,4.148
	AUG,2,2.950,0.000,5.981
	BAD,1,-4.455,19.666,6.292
	BAV,2,0.000,0.000,0.001
	BOH,2,-46.518,8.133,3.423
	BRA,1,14.995,11.100,5.967
	BRE,3,-15.103,0.000,9.052
