ID,Name,Owner,Controler,Religion,Culture
2066,Nagaur,DLH,DLH,hinduism,rajput
2067,Gorwar,TUN,TUN,hinduism,rajput
2068,Siwi,TUN,TUN,sunni,baluchi
2069,Kumaon,DLH,DLH,hinduism,pahari
2070,Chaubisi Rajya,GUG,GUG,vajrayana,nepali
2071,Limbuwan,PHA,PHA,vajrayana,nepali
2072,Bhakkar,TUN,TUN,sunni,sindhi
2073,Gilgit,DLH,DLH,sunni,kashmiri
2074,Ladakh,GUG,GUG,vajrayana,tibetan
2075,Doaba,DLH,DLH,hinduism,panjabi
2076,Sialkot,DLH,DLH,hinduism,panjabi
2077,Margalla,DLH,DLH,hinduism,panjabi
2078,Bannu,DLH,DLH,sunni,panjabi
2079,Derajat,MUL,MUL,sikhism,panjabi
2080,Srikakulam,BAH,BAH,hinduism,oriya
2081,Lakhnor,BNG,BNG,hinduism,bengali
2082,Raipur,BAH,BAH,hinduism,gondi
2083,Udayagiri,VIJ,VIJ,hinduism,telegu
2084,Konaseema,BAH,BAH,hinduism,telegu
2085,Tiruchirappalli,VIJ,VIJ,hinduism,tamil
2086,Cholistan,DLH,DLH,sikhism,panjabi
2087,Ajmer,TUN,TUN,hinduism,rajput
2088,Umarkot,TUN,TUN,sunni,sindhi
2089,Chaul,VIJ,VIJ,hinduism,marathi
2090,Kurnool,VIJ,VIJ,hinduism,telegu
2091,Tripura,BNG,BNG,hinduism,chin
2092,Mahadeo,MLW,REB,hinduism,gondi
2093,Mandsaur,MLW,MLW,hinduism,malvi
2094,Bahreich,BNG,BNG,hinduism,avadhi
2095,Varanasi,ORI,ORI,hinduism,bihari
2096,Damin,BNG,BNG,hinduism,jharkhandi
2097,Baghelkhand,ORI,ORI,hinduism,vindhyan
2098,Surguja,ORI,ORI,hinduism,jharkhandi
2099,Kandy,VIJ,VIJ,hinduism,sinhala
2100,Vanni,VIJ,VIJ,hinduism,tamil
2101,Tirunelveli,VIJ,VIJ,hinduism,tamil
2102,Albazin,OIR,OIR,tengri_pagan_reformed,evenk
2103,Udi,OIR,OIR,tengri_pagan_reformed,evenk
