ID,Owner
1,SWE,,,,,,,,
2,SWE,,,,,,,,
3,SWE,,,,,,,,
4,SWE,,,,,,,,
5,SWE,,,,,,,,
6,DAN,,,,,,,,
7,SWE,,,,,,,,
8,SWE,,,,,,,,
9,SWE,,,,,,,,
10,SWE,,,,,,,,
11,SWE,,,,,,,,
12,DAN,,,,,,,,
13,DAN,,,,,,,,
14,DAN,,,,,,,,
15,DAN,,,,,,,,
16,SWE,,,,,,,,
17,DAN,,,,,,,,
18,SWE,,,,,,,,
19,SWE,,,,,,,,
20,DAN,,,,,,,,
21,DAN,,,,,,,,
22,SWE,,,,,,,,
23,DAN,,,,,,,,
24,DAN,,,,,,,,
25,DAN,,,,,,,,
26,DAN,,,,,,,,
27,SWE,,,,,,,,
28,SWE,,,,,,,,
29,SWE,,,,,,,,
30,SWE,,,,,,,,
31,SWE,,,,,,,,
32,NOV,,,,,,,,
33,SWE,,,,,,,,
34,TEU,,,,,,,,
35,TEU,,,,,,,,
36,TEU,,,,,,,,
37,TEU,,,,,,,,
38,TEU,,,,,,,,
39,TEU,,,,,,,,
40,TEU,,,,,,,,
41,TEU,,,,,,,,
42,TEU,,,,,,,,
43,TEU,,,,,,,,
44,HAM,,,,,,,,
45,HSA,,,,,,,,
46,HSA,,,,,,,,
47,BRA,,,,,,,,
48,BRA,,,,,,,,
49,TEU,,,,,,,,
50,SAX,,,,,,,,
51,SAX,,,,,,,,
52,SAX,,,,,,,,
53,HSA,,,,,,,,
54,HSA,,,,,,,,
55,HSA,,,,,,,,
56,EFR,,,,,,,,
57,SAX,,,,,,,,
58,SAX,,,,,,,,
59,SAX,,,,,,,,
60,SAX,,,,,,,,
61,SAX,,,,,,,,
62,SAX,,,,,,,,
63,SAX,,,,,,,,
64,LBV,,,,,,,,
65,UBV,,,,,,,,
66,WBG,,,,,,,,
67,NUM,,,,,,,,
68,MEM,,,,,,,,
69,NED,,,,,,,,
70,WUR,,,,,,,,
71,ANS,,,,,,,,
72,HAB,,,,,,,,
73,HAB,,,,,,,,
74,BAD,,,,,,,,
75,BAD,,,,,,,,
76,SLZ,,,,,,,,
77,PAL,,,,,,,,
78,MAI,,,,,,,,
79,WBG,,,,,,,,
80,MAI,,,,,,,,
81,HES,,,,,,,,
82,KOL,,,,,,,,
83,MAI,,,,,,,,
84,BRG,,,,,,,,
85,KOL,,,,,,,,
86,NED,,,,,,,,
87,NED,,,,,,,,
88,NED,,,,,,,,
89,NED,,,,,,,,
90,NED,,,,,,,,
91,NED,,,,,,,,
92,NED,,,,,,,,
93,LIE,,,,,,,,
94,NED,,,,,,,,
95,NED,,,,,,,,
96,NED,,,,,,,,
97,NED,,,,,,,,
98,NED,,,,,,,,
99,NED,,,,,,,,
100,NED,,,,,,,,
101,ITA,,,,,,,,
102,ITA,,,,,,,,
103,ITA,,,,,,,,
104,ITA,,,,,,,,
105,ITA,,,,,,,,
106,ITA,,,,,,,,
107,ITA,,,,,,,,
108,ITA,,,,,,,,
109,MAN,,,,,,,,
110,TNT,,,,,,,,
111,ITA,,,,,,,,
112,ITA,,,,,,,,
113,ITA,,,,,,,,
114,ITA,,,,,,,,
115,ITA,,,,,,,,
116,ITA,,,,,,,,
117,ITA,,,,,,,,
118,ITA,,,,,,,,
119,PAP,,,,,,,,
120,ITA,,,,,,,,
121,PAP,,,,,,,,
122,NAP,,,,,,,,
123,PAP,,,,,,,,
124,PRO,,,,,,,,
125,PRO,,,,,,,,
